id,household_member_count,g_of_biscuit,unit_of_eggs,g_fruit/vege,g_of_rice,unit_of_canned,sachets_of_beverage,unit_of_instant,unit_of_bread,days_to_consume
303,2,621,39,4968,1818,17,22,14,20,11
304,1,1177,89,11283,3197,34,55,40,64,55
305,7,16609,1116,143820,50324,444,672,436,700,96
306,8,436,41,5130,2187,17,24,14,32,3
307,6,9580,601,78127,24581,241,360,246,348,60
308,2,1792,105,13261,5383,43,62,37,56,31
309,9,2273,136,17490,6403,55,81,51,74,9
310,8,11240,766,97855,37011,310,456,283,472,57
311,5,1733,136,17404,6389,56,80,51,92,16
312,5,12767,815,105856,34848,325,490,329,480,98
313,6,3940,290,37090,13563,116,174,111,198,29
314,6,8015,561,72425,24273,219,342,229,366,57
315,2,4277,269,34773,11781,111,158,103,152,79
316,3,4257,294,38097,11649,120,174,121,182,58
317,6,1133,82,10681,2860,34,48,35,52,8
318,3,6541,436,56026,19570,178,258,168,262,86
319,8,13311,819,106783,30035,323,496,356,478,62
320,8,11142,743,95039,37745,303,440,266,452,55
321,5,10775,674,87290,29755,274,400,263,382,80
322,6,5817,401,52119,18578,155,246,160,258,41
323,8,19338,1193,155308,50479,473,720,488,684,90
324,5,452,28,3485,1292,13,15,9,12,3
325,5,6766,444,57712,16992,179,265,185,264,53
326,2,5177,319,41819,12753,125,194,134,186,97
327,2,1994,109,14633,3794,43,66,49,58,33
328,2,2378,181,23799,7713,75,106,71,120,53
329,7,10586,772,97555,38091,324,448,269,490,64
330,3,3167,196,25215,8077,76,120,81,118,40
331,1,166,8,1040,410,3,5,3,4,5
332,7,17289,1033,134470,41264,403,630,439,586,90
333,6,8007,547,69618,24162,229,318,205,330,53
334,5,8161,516,66502,22216,206,310,206,306,62
335,8,13492,829,108381,33691,333,496,341,468,62
336,1,762,57,7234,2365,22,35,24,40,35
337,1,829,58,7390,2501,23,35,23,38,35
338,3,513,39,5094,1494,15,24,17,28,8
339,5,10196,679,88749,28681,264,415,283,436,83
340,4,6114,402,52344,16230,158,244,168,252,61
341,2,3365,193,24844,8125,81,112,75,92,56
342,4,4055,268,34738,13015,108,160,100,160,40
343,3,570,41,5430,1052,17,24,19,26,8
344,2,3468,237,30675,10218,99,138,90,144,69
345,5,12158,723,93369,29588,283,440,302,412,88
346,8,10514,634,82439,23844,258,376,266,346,47
347,2,1928,107,14182,3806,41,66,48,56,33
348,5,7992,514,65427,25268,204,310,192,310,62
349,2,2574,176,22449,8200,70,106,68,110,53
350,4,4449,293,37470,11048,117,176,125,182,44
351,7,16657,1056,136977,46267,419,637,422,628,91
352,1,2853,157,20351,7358,63,94,60,78,94
353,1,238,12,1522,389,4,8,6,6,8
354,3,4183,313,41262,12521,124,189,132,214,63
355,2,573,53,6637,2974,23,30,16,38,15
356,4,6336,409,53453,15981,157,252,178,260,63
357,6,12567,841,109158,35697,331,510,344,538,85
358,1,48,2,231,221,1,1,0,0,1
359,9,12315,865,111075,36909,352,513,342,550,57
360,3,419,21,2773,1093,9,12,7,8,4
361,3,4332,285,37036,12696,114,171,113,174,57
362,9,5418,330,43353,14518,123,207,140,206,23
363,4,7662,449,59539,17317,173,276,197,254,69
364,4,7515,512,66155,24957,204,308,193,322,77
365,7,2115,137,17702,6192,53,84,55,86,12
366,8,18199,1183,151701,53123,471,712,463,722,89
367,8,8062,477,61903,20276,189,288,195,262,36
368,8,5185,338,43478,14464,138,200,132,198,25
369,7,842,56,7342,2385,21,35,24,38,5
370,4,10005,592,76450,23183,244,348,239,310,87
371,2,1999,122,16620,3669,46,76,59,76,38
372,1,1443,93,12474,3143,35,58,44,60,58
373,2,5166,331,42904,15264,137,194,124,186,97
374,6,3323,247,31537,10794,103,144,94,158,24
375,7,3805,232,30431,7998,92,140,103,130,20
376,4,4960,359,46117,16328,151,208,132,222,52
377,2,425,27,3361,1272,11,16,10,14,8
378,7,12461,816,105407,32290,326,490,341,494,70
379,3,5246,297,38450,12166,117,180,123,154,60
380,8,7558,536,70307,22537,216,320,218,348,40
381,1,101,9,1180,210,4,5,4,6,5
382,1,1802,112,14409,5277,43,69,44,68,69
383,1,1507,99,13287,3247,39,60,46,60,60
384,9,2420,176,22730,6243,68,108,79,122,12
385,5,4752,349,44488,14518,144,205,136,222,41
386,9,12403,796,103968,32765,310,486,334,488,54
387,7,3364,177,22503,7779,72,105,68,78,15
388,2,1910,128,16304,4321,50,78,57,82,39
389,9,8858,540,69453,22130,216,324,219,306,36
390,4,4550,310,39840,14202,130,180,114,180,45
391,6,726,38,5168,915,14,24,20,20,4
392,6,11770,795,101853,35728,333,462,299,466,77
393,6,11393,754,97947,30430,292,462,319,478,77
394,9,6210,386,48858,18628,161,225,139,210,25
395,4,2139,117,15598,3457,41,76,60,70,19
396,2,3327,207,26217,10710,83,124,74,118,62
397,8,10801,714,92441,31700,282,432,282,446,54
398,1,337,31,4145,872,12,19,15,24,19
399,8,10717,655,85174,26993,255,400,275,382,50
400,4,143,6,801,0,2,4,4,2,1
401,3,2105,151,19056,7664,61,90,54,100,30
402,6,14610,925,119437,42263,367,558,363,552,93
403,3,2643,173,22334,6877,68,105,72,108,35
404,1,1938,143,18472,6434,54,89,59,102,89
405,7,6915,405,53391,16233,153,252,177,236,36
406,2,2513,154,19942,5908,60,94,66,92,47
407,1,1562,105,13937,4489,41,64,44,70,64
408,8,8469,550,69930,26529,222,328,204,334,41
409,3,3955,284,36677,13413,113,171,109,190,57
410,5,1982,110,13851,3935,45,65,46,54,13
411,4,8864,571,73644,23356,227,344,236,344,86
412,9,18389,1187,153670,46892,476,711,492,712,79
413,1,2340,156,20518,6096,63,93,65,92,93
414,7,6938,450,58661,17906,177,273,189,280,39
415,6,4498,302,39658,12119,122,180,125,184,30
416,5,1677,127,16140,5278,52,75,50,84,15
417,8,2922,180,22532,9696,76,104,58,98,13
418,1,0,2,220,210,1,1,0,2,1
419,5,7489,456,59096,20507,181,275,179,264,55
420,5,261,17,2124,831,7,10,6,10,2
421,2,1661,114,14819,5088,46,68,45,72,34
422,3,2261,132,16914,5990,57,75,48,62,25
423,1,1743,129,17034,4089,50,79,60,92,79
424,8,3955,285,36204,15728,117,168,96,182,21
425,7,13008,818,104572,37876,335,483,306,462,69
426,3,3556,247,31542,10721,100,147,96,150,49
427,5,6244,411,53572,17009,161,250,171,258,50
428,9,22888,1456,186658,64779,601,855,557,830,95
429,7,12412,748,96203,33337,293,455,299,432,65
430,9,4971,317,40925,13360,128,189,128,186,21
431,2,3221,204,26381,8441,82,122,83,120,61
432,9,7888,523,68054,23209,208,315,208,322,35
433,5,4755,319,41944,12856,124,195,137,206,39
434,1,1120,62,7586,2630,28,34,21,24,34
435,9,4719,314,41248,11982,116,198,144,212,22
436,8,18722,1168,152768,45403,456,712,503,698,89
437,8,2328,185,23078,8011,81,104,66,116,13
438,1,523,33,4454,1314,12,21,15,22,21
439,3,7044,481,62605,22523,190,291,188,306,97
440,5,9940,612,78196,27344,252,360,232,336,72
441,4,10638,658,84018,30364,266,392,251,370,98
442,2,2248,164,20863,8534,70,94,55,100,47
443,2,782,44,5633,2891,18,26,13,22,13
444,6,12137,787,100882,33091,325,462,309,452,77
445,1,264,10,1290,252,5,5,4,0,5
446,7,8581,518,67495,20350,203,315,221,298,45
447,5,1880,140,18253,6833,55,85,54,96,17
448,4,2147,141,18322,6246,57,84,55,84,21
449,7,8802,593,77021,25437,236,357,239,368,51
450,8,15533,1044,134011,44510,428,616,410,628,77
451,2,352,31,4308,1315,11,20,14,26,10
452,2,3820,248,32253,9344,100,148,105,146,74
453,3,2515,167,21603,5688,68,99,73,100,33
454,5,9443,635,82851,25771,260,375,256,384,75
455,1,2238,109,13968,5194,43,66,42,44,66
456,8,14664,921,117483,41414,377,544,349,518,68
457,9,10548,750,96534,37597,309,441,270,472,49
458,7,10394,672,86953,30226,273,399,260,392,57
459,9,3214,221,28419,9169,86,135,92,148,15
460,7,11082,729,93800,31368,288,441,293,448,63
461,7,13980,912,117922,37690,366,546,370,550,78
462,7,16479,1093,139829,47130,449,644,425,650,92
463,1,513,42,5199,1966,19,23,14,26,23
464,7,2242,161,21468,6163,63,98,70,108,14
465,4,6082,399,52373,15573,159,240,169,244,60
466,1,1375,96,11749,5153,42,54,29,54,54
467,4,5701,353,46008,13487,141,212,150,206,53
468,3,4090,247,31887,10963,97,150,99,140,50
469,8,382,28,3648,1083,12,16,11,18,2
470,1,1567,98,12692,4454,40,58,38,56,58
471,7,765,67,8674,2334,25,42,31,54,6
472,9,12048,744,96393,30834,294,450,307,432,50
473,9,14855,884,114413,39573,353,531,347,488,59
474,7,2173,118,15491,4562,41,77,55,72,11
475,3,7854,487,62960,19389,193,294,203,284,98
476,6,2844,200,25939,8188,80,120,82,128,20
477,3,6557,422,54724,17173,167,255,176,256,85
478,5,4062,271,34822,13927,111,160,95,160,32
479,9,18396,1292,167080,52509,518,774,527,834,86
480,4,8458,511,67158,19465,199,312,222,298,78
481,4,10296,650,83655,26807,266,384,259,370,96
482,2,1859,156,19871,5995,66,90,62,110,45
483,6,10702,720,93142,29379,288,432,298,446,72
484,6,7631,446,57426,21483,182,264,166,238,44
485,6,5347,368,47489,15999,146,222,147,232,37
486,3,673,40,5345,1755,16,24,16,22,8
487,4,1875,132,16726,6382,56,76,46,80,19
488,9,688,40,5471,1125,13,27,22,28,3
489,1,620,47,5870,3330,20,27,12,30,27
490,9,22575,1490,191791,66811,617,873,566,870,97
491,1,886,59,7451,2943,24,35,21,36,35
492,8,2428,139,17706,6181,59,80,52,68,10
493,2,1040,66,8770,2177,24,42,32,42,21
494,4,2410,186,23587,9430,74,112,68,132,28
495,7,15769,1065,139881,42882,414,651,452,694,93
496,8,1910,135,17282,7666,55,80,45,86,10
497,3,4777,297,37945,13393,120,177,115,170,59
498,3,3212,222,28426,9386,93,129,86,134,43
499,8,2725,208,26356,9852,88,120,74,132,15
500,5,5060,316,40359,12298,131,185,128,174,37
501,3,3831,265,34038,10672,109,156,106,164,52
502,7,10354,631,82257,26073,253,378,256,354,54
503,6,814,81,10338,4983,33,48,25,66,8
504,4,1826,115,14847,3553,47,68,52,68,17
505,5,50,10,1281,231,5,5,4,8,1
506,1,1526,87,11191,3532,36,51,34,44,51
507,6,13108,906,116972,40767,366,540,352,570,90
508,2,807,67,8467,2386,29,38,27,44,19
509,7,941,58,7549,2292,23,35,24,34,5
510,9,22550,1431,185798,60222,558,873,595,876,97
511,5,10791,702,90737,27722,287,415,287,408,83
512,4,8587,598,77010,22750,250,348,243,358,87
513,1,1083,93,12356,3469,35,58,42,74,58
514,7,18386,1139,147851,46842,453,686,468,662,98
515,3,6836,406,52294,16986,157,249,169,234,83
516,7,16903,1084,141920,44621,426,658,453,650,94
517,3,4934,316,40700,12868,130,186,127,178,62
518,4,3347,210,27751,7811,78,132,95,136,33
519,1,424,39,5245,1156,16,23,18,30,23
520,4,6924,458,59142,17744,182,276,193,284,69
521,2,4508,297,38779,10143,119,178,131,180,89
522,5,7665,480,63000,22895,185,295,191,292,59
523,6,8551,526,69088,23383,202,324,217,322,54
524,8,17783,1159,149215,51659,463,696,454,700,87
525,8,16433,1050,136507,46540,418,632,419,626,79
526,4,2646,176,22343,8033,68,108,70,114,27
527,6,380,29,3910,914,11,18,14,22,3
528,3,116,6,863,0,3,3,3,2,1
529,8,6042,370,48446,16355,146,224,149,214,28
530,3,1827,108,13931,5927,42,66,39,60,22
531,8,17362,1036,134353,44186,412,624,419,576,78
532,3,4892,293,38122,13454,116,177,115,162,59
533,2,4762,283,35529,13038,115,168,105,152,84
534,7,1925,133,16883,6666,56,77,46,76,11
535,5,4717,357,47118,14163,137,220,155,256,44
536,7,823,60,7247,2901,25,35,21,36,5
537,3,1287,86,11280,2828,35,51,38,52,17
538,8,20215,1311,168098,59542,535,776,502,766,97
539,4,432,33,4079,2156,13,20,10,22,5
540,3,7699,490,64021,20276,193,297,203,294,99
541,5,7527,501,64598,22686,201,300,195,310,60
542,2,939,53,7147,2314,21,32,22,28,16
543,5,3461,214,26476,11125,89,125,72,114,25
544,7,4305,269,35033,10162,108,161,115,152,23
545,1,796,78,10198,2639,33,45,33,58,45
546,1,1839,111,13845,4581,48,63,42,54,63
547,4,2973,200,25905,7192,76,124,90,132,31
548,6,4259,257,33980,10965,95,162,111,158,27
549,7,12595,774,100611,31019,298,476,331,468,68
550,3,7787,490,62117,23514,208,282,174,260,94
551,1,2238,147,18735,6517,66,81,51,74,81
552,6,3743,262,33367,12087,106,156,99,168,26
553,5,2329,188,24373,8872,78,110,70,130,22
554,7,12246,909,116504,38828,370,539,358,606,77
555,2,1779,140,17639,7274,60,80,46,90,40
